duplicate_fp,fn,fp,gt,height,image,max_conf,mean_gt_best_iou,precision_image,pred,recall_image,tp,width
0,1,20,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0004.png,0.6901240348815918,0.5433658752650696,0.16666666666666666,24,0.8,4,1024
0,1,12,7,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0005.png,0.6666604280471802,0.5695355250727535,0.3333333333333333,18,0.8571428571428571,6,1024
0,3,22,7,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0006.png,0.7190399765968323,0.4628368451483791,0.15384615384615385,26,0.5714285714285714,4,1024
0,2,13,7,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0007.png,0.7665164470672607,0.46587876451930577,0.2777777777777778,18,0.7142857142857143,5,1024
0,1,22,7,1023,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0008.png,0.45249059796333313,0.4842219050280535,0.21428571428571427,28,0.8571428571428571,6,1024
0,3,11,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0009.png,0.6249915957450867,0.37542032491487115,0.21428571428571427,14,0.5,3,1024
0,2,6,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0010.png,0.6664844751358032,0.1719204007758135,0.14285714285714285,7,0.3333333333333333,1,1024
0,0,13,2,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0011.png,0.2915419340133667,0.5398470852967816,0.13333333333333333,15,1.0,2,1024
0,2,14,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0012.png,0.19803215563297272,0.44155320461442676,0.06666666666666667,15,0.3333333333333333,1,1024
1,1,18,2,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-130_0013.png,0.4882485866546631,0.517750606450209,0.05263157894736842,19,0.5,1,1024
0,1,10,2,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_C-17_0001.png,0.06984595954418182,0.443416067930022,0.09090909090909091,11,0.5,1,1024
0,4,7,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_KC-135_0002.png,0.77595454454422,0.32023450198774234,0.125,8,0.2,1,1024
0,3,11,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_KC-135_0003.png,0.7032493948936462,0.4212548771770123,0.21428571428571427,14,0.5,3,1024
2,1,9,7,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_V-22_0014.png,0.6732984781265259,0.5226888775183192,0.4,15,0.8571428571428571,6,1024
0,1,11,7,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_V-22_0015.png,0.5292952060699463,0.5092893980507547,0.35294117647058826,17,0.8571428571428571,6,1024
0,1,13,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_V-22_0016.png,0.6040255427360535,0.490472565658397,0.2777777777777778,18,0.8333333333333334,5,1024
0,2,6,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/260_V-22_0017.png,0.7139154672622681,0.3518263715517603,0.3333333333333333,9,0.6,3,1024
0,3,25,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0001.png,0.023612238466739655,0.14040776902887836,0.0,25,0.0,0,1024
0,2,11,2,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0002.png,0.33289554715156555,0.05594506046536184,0.0,11,0.0,0,1024
0,2,11,2,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0003.png,0.10211699455976486,0.04291029517940046,0.0,11,0.0,0,1024
0,1,28,1,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0004.png,0.18843990564346313,0.30953332492969493,0.0,28,0.0,0,1024
0,3,14,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0005.png,0.03054329939186573,0.09459230719916228,0.0,14,0.0,0,1024
0,3,8,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0006.png,0.03481278195977211,0.14180381956003396,0.0,8,0.0,0,1024
0,3,10,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0007.png,0.10164894908666611,0.16822063344237226,0.0,10,0.0,0,1024
0,3,16,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0008.png,0.16992394626140594,0.11842370643814237,0.0,16,0.0,0,1024
0,3,16,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0009.png,0.22052377462387085,0.05752932372767786,0.0,16,0.0,0,1024
0,4,8,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0010.png,0.022499099373817444,0.22988687645637274,0.0,8,0.0,0,1024
0,0,6,1,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0011.png,0.023220956325531006,0.6579831082463311,0.14285714285714285,7,1.0,1,1024
1,3,13,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0012.png,0.014056382700800896,0.2232489082223146,0.07142857142857142,14,0.25,1,1024
0,2,16,3,1023,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/261_B-52_0013.png,0.010842356830835342,0.2938697301726428,0.058823529411764705,17,0.3333333333333333,1,1024
5,0,101,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-130_0001.png,0.7846649289131165,0.8412088584965718,0.0380952380952381,105,1.0,4,1024
5,0,66,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-130_0002.png,0.7636802792549133,0.8531122407601737,0.05714285714285714,70,1.0,4,1024
6,0,111,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-130_0003.png,0.7706975936889648,0.8383750947184299,0.034782608695652174,115,1.0,4,1024
1,0,87,1,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-130_0029.png,0.6951021552085876,0.7056547980647857,0.011363636363636364,88,1.0,1,1024
0,0,28,1,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0021.png,0.7983793616294861,0.8288524996451486,0.034482758620689655,29,1.0,1,1024
0,0,19,1,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0022.png,0.7989971041679382,0.7864396205759604,0.05,20,1.0,1,1024
3,0,88,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0023.png,0.7856030464172363,0.8043132975766962,0.043478260869565216,92,1.0,4,1024
2,0,71,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0024.png,0.782926082611084,0.7865454593263657,0.06578947368421052,76,1.0,5,1024
1,0,106,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0025.png,0.785363495349884,0.7437134191129923,0.04504504504504504,111,1.0,5,1024
0,0,66,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0026.png,0.7984457612037659,0.7556189112870452,0.05714285714285714,70,1.0,4,1024
2,0,38,2,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0027.png,0.7416557669639587,0.7573531930048611,0.05,40,1.0,2,1024
1,0,25,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_C-17_0028.png,0.7860537767410278,0.7824703315562959,0.13793103448275862,29,1.0,4,1024
13,0,68,11,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0004.png,0.8090904951095581,0.8141032925830476,0.13924050632911392,79,1.0,11,1024
10,0,89,11,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0005.png,0.7977702021598816,0.8088096253183639,0.11,100,1.0,11,1024
9,0,130,11,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0006.png,0.7868601083755493,0.8153178026444976,0.07801418439716312,141,1.0,11,1024
15,0,102,12,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0007.png,0.7968852519989014,0.8069935746212685,0.10526315789473684,114,1.0,12,1024
9,0,59,11,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0008.png,0.8120868802070618,0.8008557654832454,0.15714285714285714,70,1.0,11,1024
9,0,54,9,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0009.png,0.7891538739204407,0.8116048977400717,0.14285714285714285,63,1.0,9,1024
11,0,26,12,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0010.png,0.8145847320556641,0.7931415382871477,0.3157894736842105,38,1.0,12,1024
11,0,45,13,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0011.png,0.7972642779350281,0.8046210387978577,0.22413793103448276,58,1.0,13,1024
11,0,107,13,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0012.png,0.8190562129020691,0.7775951597526193,0.10833333333333334,120,1.0,13,1024
12,0,70,13,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0013.png,0.802838921546936,0.7802796325565187,0.1566265060240964,83,1.0,13,1024
8,0,84,12,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0014.png,0.8090011477470398,0.7808402876378312,0.125,96,1.0,12,1024
9,0,44,9,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0015.png,0.8147964477539062,0.7890404312057839,0.16981132075471697,53,1.0,9,1024
8,0,72,10,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0016.png,0.7966882586479187,0.792485977758387,0.12195121951219512,82,1.0,10,1024
8,0,93,9,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0017.png,0.8019704818725586,0.7662277275256305,0.08823529411764706,102,1.0,9,1024
5,0,28,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0018.png,0.7882176041603088,0.7788968030690039,0.17647058823529413,34,1.0,6,1024
3,0,33,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0019.png,0.7609739899635315,0.8106663968233443,0.08333333333333333,36,1.0,3,1024
4,0,46,3,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/262_KC-135_0020.png,0.7292165756225586,0.7808015796170408,0.061224489795918366,49,1.0,3,1024
1,4,13,7,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_B-1_0003.png,0.37561050057411194,0.37419242329803487,0.1875,16,0.42857142857142855,3,1024
1,2,8,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_B-1_0004.png,0.3966737687587738,0.4797346651756393,0.2,10,0.5,2,1024
2,2,12,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_B-1_0009.png,0.49732303619384766,0.47468754269012814,0.2,15,0.6,3,1024
0,3,14,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_B-52_0001.png,0.25817370414733887,0.3950655187482173,0.125,16,0.4,2,1024
0,4,18,7,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_B-52_0002.png,0.1295054703950882,0.3652849206002936,0.14285714285714285,21,0.42857142857142855,3,1024
2,5,9,7,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_B-52_0005.png,0.350443959236145,0.2526091752440412,0.18181818181818182,11,0.2857142857142857,2,1024
2,4,9,8,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_B-52_0007.png,0.3436637818813324,0.41550268863491396,0.3076923076923077,13,0.5,4,1024
1,6,13,8,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_B-52_0008.png,0.016630178317427635,0.22407120467049096,0.13333333333333333,15,0.25,2,1024
2,5,11,7,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_C-130_0006.png,0.44014790654182434,0.33176511441063494,0.15384615384615385,13,0.2857142857142857,2,1024
6,0,28,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_E-3_0012.png,0.5398186445236206,0.7873865594981236,0.17647058823529413,34,1.0,6,1024
5,2,55,11,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_E-3_0045.png,0.7248671650886536,0.7491789309848859,0.140625,64,0.8181818181818182,9,1024
9,0,54,8,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_E-3_0046.png,0.6567796468734741,0.8711591645830101,0.12903225806451613,62,1.0,8,1024
10,0,30,8,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_E-3_0047.png,0.6530868411064148,0.8756499680442941,0.21052631578947367,38,1.0,8,1024
7,0,47,8,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_E-3_0048.png,0.697324275970459,0.854451028469406,0.14545454545454545,55,1.0,8,1024
10,2,59,11,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_E-3_0049.png,0.6772868633270264,0.7315721476095628,0.1323529411764706,68,0.8181818181818182,9,1024
9,0,50,8,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_E-3_0050.png,0.6532182693481445,0.8346513297846256,0.13793103448275862,58,1.0,8,1024
8,0,30,8,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_E-3_0051.png,0.5664812326431274,0.8440391714202737,0.21052631578947367,38,1.0,8,1024
6,0,28,8,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_E-3_0052.png,0.6891212463378906,0.8713824035672568,0.2222222222222222,36,1.0,8,1024
0,0,21,1,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_E-3_0053.png,0.1365065723657608,0.694884660891277,0.045454545454545456,22,1.0,1,1024
0,0,41,1,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_E-8_0025.png,0.7960107326507568,0.7275808610861202,0.023809523809523808,42,1.0,1,1024
5,1,39,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0010.png,0.6228813529014587,0.6237571142544641,0.09302325581395349,43,0.8,4,1024
4,0,34,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0011.png,0.5481494069099426,0.7653108694541051,0.15,40,1.0,6,1024
5,1,18,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0013.png,0.6118595004081726,0.7131368795660288,0.21739130434782608,23,0.8333333333333334,5,1024
2,1,17,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0014.png,0.567301869392395,0.6716746698412185,0.22727272727272727,22,0.8333333333333334,5,1024
3,2,21,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0015.png,0.2116001397371292,0.5989276656547713,0.08695652173913043,23,0.5,2,1024
5,1,17,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0016.png,0.4626595079898834,0.6817513916170765,0.19047619047619047,21,0.8,4,1024
3,1,4,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0017.png,0.7791919112205505,0.5862091360769428,0.42857142857142855,7,0.75,3,1024
3,1,6,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0018.png,0.7910705208778381,0.6177247455093614,0.4,10,0.8,4,1024
2,1,6,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0019.png,0.7814921140670776,0.6118190060429745,0.45454545454545453,11,0.8333333333333334,5,1024
1,0,5,7,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0020.png,0.7636206746101379,0.6870437942004607,0.5833333333333334,12,1.0,7,1024
4,1,6,8,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0021.png,0.7833033204078674,0.6174930756457745,0.5384615384615384,13,0.875,7,1024
1,0,3,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0022.png,0.7605154514312744,0.6482316353338474,0.6666666666666666,9,1.0,6,1024
0,0,2,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0023.png,0.7960575819015503,0.675745306615607,0.7142857142857143,7,1.0,5,1024
2,0,3,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0024.png,0.824358344078064,0.659005496275094,0.625,8,1.0,5,1024
0,0,9,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0027.png,0.750872015953064,0.6975104319094767,0.3076923076923077,13,1.0,4,1024
1,0,10,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0028.png,0.7363530993461609,0.6387461831038832,0.3333333333333333,15,1.0,5,1024
4,0,14,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0029.png,0.7511926889419556,0.684926668592674,0.3,20,1.0,6,1024
2,0,18,6,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0030.png,0.7504072785377502,0.6867047089414356,0.25,24,1.0,6,1024
3,0,28,5,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0031.png,0.7418278455734253,0.7081231796901157,0.15151515151515152,33,1.0,5,1024
1,0,9,4,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0032.png,0.7712255716323853,0.5885322310838311,0.3076923076923077,13,1.0,4,1024
0,0,17,1,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0033.png,0.4249972999095917,0.6893362251385295,0.05555555555555555,18,1.0,1,1024
3,0,3,2,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0034.png,0.6795046925544739,0.9444619249746653,0.4,5,1.0,2,1024
1,0,2,2,1024,/ssd_data/lixiang_data/Datasets/data_sar_plane_coarsness/images/263_KC-135_0035.png,0.7384870052337646,0.9123282499831342,0.5,4,1.0,2,1024
